model,dataset,batchsize,amp,speed,gpu_util,gmem_util,gmem,label
BERT,SQuAD,32,0,84.872,99.689,62.484,20162.0,2
BERT,SQuAD,32,1,119.911,99.593,74.23,16334.0,2
DCGAN,LSUN,32,0,1986.707,57.778,20.222,2458.0,1
DCGAN,LSUN,32,1,1561.581,34.9,11.8,2730.0,0
DCGAN,LSUN,64,0,3275.832,72.9,31.0,2322.0,2
DCGAN,LSUN,64,1,2936.807,47.5,17.167,2330.0,1
DCGAN,LSUN,128,0,4659.802,94.0,41.0,3096.0,2
DCGAN,LSUN,128,1,6097.188,66.333,32.417,2684.0,2
EfficientNet,CIFAR-10,32,0,814.137,24.5,3.0,2308.0,0
EfficientNet,CIFAR-10,32,1,680.977,20.571,1.286,2176.0,0
EfficientNet,CIFAR-10,64,0,1922.826,35.4,8.0,2766.0,1
EfficientNet,CIFAR-10,64,1,1371.123,25.5,3.167,2290.0,1
EfficientNet,CIFAR-10,128,0,3465.072,44.833,16.167,2580.0,1
EfficientNet,CIFAR-10,128,1,2802.744,33.571,7.286,2358.0,1
LSTM,Wikitext2,64,0,4496.071,97.0,74.875,3884.0,2
LSTM,Wikitext2,64,1,4495.889,73.625,60.0,3750.0,2
LSTM,Wikitext2,128,0,3951.755,76.2,63.75,5616.0,2
LSTM,Wikitext2,128,1,4440.872,63.706,55.824,5320.0,2
MobileNetV2,CIFAR-10,32,0,1108.427,42.8,17.0,2508.0,1
MobileNetV2,CIFAR-10,32,1,895.251,28.833,7.333,2320.0,1
MobileNetV2,CIFAR-10,64,0,2228.976,69.5,39.5,3010.0,1
MobileNetV2,CIFAR-10,64,1,1710.877,41.833,16.167,2528.0,1
MobileNetV2,CIFAR-10,128,0,3516.037,98.833,65.333,4078.0,2
MobileNetV2,CIFAR-10,128,1,2866.76,55.714,28.286,2992.0,1
MobileNetV3,ImageNet,32,0,1304.503,45.409,19.727,2694.0,0
MobileNetV3,ImageNet,32,1,978.255,34.966,7.931,2382.0,0
MobileNetV3,ImageNet,64,0,2537.436,80.522,44.261,3266.0,1
MobileNetV3,ImageNet,64,1,1908.093,52.355,18.065,2706.0,0
MobileNetV3,ImageNet,128,0,3353.137,100.0,60.912,4428.0,2
MobileNetV3,ImageNet,128,1,3482.526,86.121,33.939,3216.0,1
NeuMF,MovieLens,64,0,15393.307,10.483,2.023,2050.0,0
NeuMF,MovieLens,64,1,12173.612,9.836,2.009,2050.0,0
NeuMF,MovieLens,128,0,29773.989,10.483,2.011,2050.0,0
NeuMF,MovieLens,128,1,23040.359,9.643,1.983,2050.0,0
PPO,LunarLander,32,0,5.156,12.425,0.0,2051.0,0
PPO,LunarLander,64,0,14.246,11.949,0.0,2051.0,0
PPO,LunarLander,128,0,46.507,14.96,0.0,2051.0,0
PointNet,ShapeNet,32,0,131.491,11.533,9.667,3968.0,0
PointNet,ShapeNet,32,1,136.02,7.0,5.615,3334.0,0
PointNet,ShapeNet,64,0,138.049,7.75,6.571,6346.0,0
PointNet,ShapeNet,64,1,135.349,6.24,5.32,4532.0,0
PointNet,ShapeNet,128,0,140.209,8.982,7.589,10474.0,0
PointNet,ShapeNet,128,1,144.304,5.551,4.878,6976.0,0
ResNet18,CIFAR-10,32,0,1763.905,58.667,25.0,2360.0,0
ResNet18,CIFAR-10,32,1,1649.038,40.667,20.333,2330.0,1
ResNet18,CIFAR-10,64,0,3711.999,80.667,47.0,2660.0,2
ResNet18,CIFAR-10,64,1,4038.576,62.0,34.0,3642.0,2
ResNet18,CIFAR-10,128,0,4903.86,96.25,67.0,3072.0,2
ResNet18,CIFAR-10,128,1,5699.482,78.0,43.667,4036.0,2
ResNet50,ImageNet,32,0,432.563,100.0,80.754,5518.0,2
ResNet50,ImageNet,32,1,670.679,95.864,67.568,3838.0,2
ResNet50,ImageNet,64,0,435.943,100.0,80.899,8570.0,2
ResNet50,ImageNet,64,1,708.822,97.735,72.518,5376.0,2
ResNet50,ImageNet,128,0,465.651,100.0,86.927,13326.0,2
ResNet50,ImageNet,128,1,765.473,99.66,75.566,7992.0,2
TD3,BipedalWalker,32,0,16.292,12.828,0.0,2059.0,0
TD3,BipedalWalker,64,0,59.807,13.303,0.0,2059.0,0
TD3,BipedalWalker,128,0,67.445,14.089,0.0,2059.0,0
Transformer,Multi30k,32,0,464.423,53.645,17.258,11949.258,2
Transformer,Multi30k,64,0,857.9,75.164,31.806,11801.104,2
VGG,CIFAR-10,32,0,2998.72,44.0,23.0,3386.0,0
VGG,CIFAR-10,32,1,3556.88,48.0,19.0,2762.0,0
VGG,CIFAR-10,64,0,7430.143,51.0,30.0,3584.0,1
VGG,CIFAR-10,64,1,5112.546,34.0,16.5,3588.0,1
VGG,CIFAR-10,128,0,7260.35,50.5,34.0,3990.0,2
VGG,CIFAR-10,128,1,7009.529,43.667,22.333,2666.0,2
